ID,title,author,isbn,year_of_publication,publisher,language,number_of_pages,genre
,toxic parents,Dr susan forward,5328434,1989,bantom books,english,324,non-fiction
,the last straw ,Jeff kinney ,9780141324920,2009,puffin books,english ,217,
,Harry potter and the Half blood prince,J.K Rowling,978140889476,2005,Bloomsbury publishing,english,541,Fantasy
,miles to go,miley cyrus,978140762612,2010,,english,282,biography
,dork diaries,rachell renee russel,9781471122774,2014,childrens publishing division,english,295,fiction
,Nancy Drew and the secret in the stars,Carolyn Keene,0-611-042637,2000,Alladin Paper Books,English,147,Mystery
,Harry Potter and the Philosopher's Stone,J.K Roling,978-1-40889462-0,2013,Bloomsburry,English,332,Fantasy
,How to catch a Frog ,Heather Ross,978-1-617690983,2014,Abrams,English,238,Fiction
,The curious incident of the Dog in the Night Time,Mark Haddon,978-0-099-45025-2,2003,Vintage Books,English,265,Mystery
,Anne Frank  - Beyond the Diary,Ruud Van Der Rol & Reinverhoeven,0-590-47447-2,1992,Scholastic Inc,English,105,Non -Fiction 
,kuru vaahakah ,Bimaa Ibrahim Waheedh,978-99915-72-63-5,2004,sunlight press,dhivehi ,300,fantasy 
,the law killers,alexander megrecor,9781845021375,2009,black and white limited,englisg,256,Non -Fiction 
,The bane chronicles,Cassandra Clare,978-1-4063-6058-5,2015,Walker books,English,440,Fantasy
,City of Glass,Cassandra Clare,978-1-4169-7225-9,2009,Walker books,English,541,Fantasy
